source,target,relationship_type,trial_id,confidence,evidence_text,direction,temporal_marker,attributes
Claudon,Jean Munisier,WIDOW_OF,w003,1.0,Claudon veuve Jean Munisier,directed,,{}
Aynel,Jean Abriat,WIDOW_OF,w003,1.0,Aynel veuve Jean Abriat,directed,,{}
Dedie,Prins Barheur,WIDOW_OF,w003,1.0,Dedie veuve Prins Barheur,directed,,{}
Marguerite,Claude Hersault,WIDOW_OF,w005,1.0,Marguerite veuve Claude Hersault,directed,,{}
Barbe,Demenge Pouignon,WIDOW_OF,w005,1.0,Barbe veuve Demenge Pouignon,directed,,{}
Izabel,Didier Barizien,WIDOW_OF,w008,1.0,Izabel veuve Didier Barizien,directed,,{}
Margueritte,Demenge Gatton,WIDOW_OF,w010,1.0,Margueritte veuve de Demenge Gatton de Herbeviller,directed,,{}
Marie,Claudon Vosgien,WIDOW_OF,w011,1.0,Marie veuve Claudon Vosgien,directed,,{}
Marion,Jacot Estiennon,WIDOW_OF,w012,1.0,Marion veuve de Jacot Estiennon Petit Demenge de Seuch,directed,,{}
Mongeotte,George Gillet,WIDOW_OF,w012,1.0,Mongeotte veuve de George Gillet Pierre Geoffroy de Seuch,directed,,{}
Alix,Claudon Simonin,WIDOW_OF,w012,1.0,Alix veuve de Claudon Simonin de Seuch,directed,,{}
Claudotte,Demengeon,WIDOW_OF,w013,1.0,Claudotte veuve Demengeon de Rainfaing,directed,,{}
Marguerite,Demengeon Blaise,WIDOW_OF,w013,1.0,Marguerite veuve de Demengeon Blaise Olry de Xennenay,directed,,{}
Catherine,Vincent Xalley,WIDOW_OF,w014,1.0,Catherine veuve de Vincent Xalley,directed,,{}
Barbe,Mathieu,WIDOW_OF,w016,1.0,Barbe veuve Mathieu la Breuche,directed,,{}
Catherine,Delon Vincent,WIDOW_OF,w017,1.0,Catherine veuve Delon Vincent,directed,,{}
Margueritte,Demenge Romain,WIDOW_OF,w021,1.0,Margueritte veuve Demenge Romain,directed,,{}
Sebille Cloutier,Colas Bourdaine,WIDOW_OF,w023,1.0,Sebille Cloutier veuve Colas Bourdaine,directed,,{}
Sebille,Jean Mercier,WIDOW_OF,w023,1.0,Sebille veuve Jean Mercier,directed,,{}
Alison,Jean Henry,WIDOW_OF,w024,1.0,Alison veuve Jean Henry Michiel,directed,,{}
Bietrix,Bastien Vigneron,WIDOW_OF,w024,1.0,Bietrix veuve Bastien Vigneron,directed,,{}
Catherine,Mengeot,WIDOW_OF,w024,1.0,Catherine veuve de Mengeot,directed,,{}
Jennon,Claudon Jacquemin,WIDOW_OF,w026,1.0,Jennon veuve Claudon Jacquemin,directed,,{}
Marguerite,Demenge Jacquemin,WIDOW_OF,w028,1.0,Marguerite veuve Demenge Jacquemin,directed,,{}
Jennon,Claudon Jacquemin,WIDOW_OF,w028,1.0,Jennon veuve Claudon Jacquemin,directed,,{}
Barbe,Jean Renard,WIDOW_OF,w031,1.0,Barbe veuve Jean Renard,directed,,{}
Anne,Demenge Claude,WIDOW_OF,w032,1.0,Anne veuve Demenge Claude,directed,,{}
Jennon,Vallentin Mesline,WIDOW_OF,w032,1.0,Jennon veuve Vallentin Mesline,directed,,{}
Chrestienne,Guillaumin Jean,WIDOW_OF,w033,1.0,"Chrestienne veuve de Guillaumin Jean Vatrix de Gondrexon.
Said she had often bee",directed,,{}
Sebille,Claudon Colas,WIDOW_OF,w034,1.0,"Sebille veuve Claudon Colas Claudon de Gondrexon
Had known Claudon all her life",directed,,{}
Margueritte,Cugin Mongelay,WIDOW_OF,w035,1.0,Margueritte veuve Cugin Mongelay de Domjevin,directed,,{}
Annel,Virion Bergier,WIDOW_OF,w038,1.0,Annel veuve Virion Bergier de Domjevin,directed,,{}
Jehenne,Jean Colas,WIDOW_OF,w038,1.0,Jehenne veuve Jean Colas de Domjevin,directed,,{}
Lucie,Claudon Nicolle,WIDOW_OF,w042,1.0,Lucie veuve Claudon Nicolle,directed,,{}
Sebille,Nicolas Bourdemont,WIDOW_OF,w043,1.0,Sebille veuve Nicolas Bourdemont,directed,,{}
Jennon,Grand Demenge,WIDOW_OF,w043,1.0,Jennon veuve Grand Demenge,directed,,{}
Jennon,Demenge Vannier,WIDOW_OF,w043,1.0,Jennon veuve Demenge Vannier,directed,,{}
Zabillon,Didier,WIDOW_OF,w044,1.0,Zabillon veuve Didier de Dompierre,directed,,{}
Anyon,Claudon Tuppinier,WIDOW_OF,w044,1.0,Anyon veuve Claudon Tuppinier,directed,,{}
Bastienne,Claude Charton,WIDOW_OF,w045,1.0,Bastienne veuve Claude Charton,directed,,{}
Allison,Jean Hellenix,WIDOW_OF,w046,1.0,Missing apart from conclusion. Witness was Allison veuve Jean Hellenix,directed,,{}
Claudatte,Jean Mathieu,WIDOW_OF,w048,1.0,Claudatte veuve Jean Mathieu,directed,,{}
Jehenne,Mongenot Galla,WIDOW_OF,w049,1.0,Jehenne veuve Mongenot Galla,directed,,{}
Barbeline,Demenge Henriot,WIDOW_OF,w050,1.0,Barbeline veuve Demenge Henriot,directed,,{}
Jehenne,Louy Denys,WIDOW_OF,w050,1.0,Jehenne veuve Louy Denys,directed,,{}
Barbeline,Demenge Henriatte,WIDOW_OF,w051,1.0,Barbeline veuve Demenge Henriatte,directed,,{}
Jeannon,Jean Batho,WIDOW_OF,w051,1.0,Jeannon veuve Jean Batho,directed,,{}
Sibille,Germain Tabourin,WIDOW_OF,w051,1.0,Sibille veuve Germain Tabourin,directed,,{}
Jeannon,Grand Bastien,WIDOW_OF,w053,1.0,Jeannon veuve Grand Bastien,directed,,{}
Margueritte,Aubertin Lehel,WIDOW_OF,w053,1.0,Margueritte veuve Aubertin Lehel,directed,,{}
Chretienne,Colas Hachon,WIDOW_OF,w054,1.0,Chretienne veuve Colas Hachon,directed,,{}
Claudette,Jacat Didier,WIDOW_OF,w055,1.0,Claudette veuve Jacat Didier Gynatte de Belmont,directed,,{}
Jacote,Mathieu Marion,WIDOW_OF,w058,1.0,Jacote veuve Mathieu Marion de Docelles,directed,,{}
Claudate,Jean Nancey,WIDOW_OF,w058,1.0,Claudate veuve Jean Nancey de Docelles,directed,,{}
Zabillon,Jean Brocquard,WIDOW_OF,w060,1.0,Zabillon veuve Jean Brocquard bourgeois a Bruyeres,directed,,{}
Claudate,Jean Doridant,WIDOW_OF,w060,1.0,Claudate veuve Jean Doridant de Bruyeres,directed,,{}
Ranfaing,Nicolas Vanderchamps,WIDOW_OF,w060,1.0,Antoinette de Ranfaing veuve de Nicolas Vanderchamps,directed,,{}
Jehennon,Jean Thiriot,WIDOW_OF,w061,1.0,Jehennon veuve Jean Thiriot d'Aidoile,directed,,{}
Bietrix,Mengeon Richier,WIDOW_OF,w061,1.0,Bietrix veuve Mengeon Richier d'Aidoile,directed,,{}
Dieudonnée,Jean Baulche,WIDOW_OF,w064,1.0,Dieudonnée veuve Jean Baulche,directed,,{}
Jennon,Claudon Pierat,WIDOW_OF,w065,1.0,Jennon veuve de Claudon Pierat de Dompierre,directed,,{}
Catherine,Nicolas Rouvier,WIDOW_OF,w067,1.0,Catherine veuve de Nicolas Rouvier de Dezviller,directed,,{}
Edelynne,Claudin Fedoiart,WIDOW_OF,w068,1.0,Edelynne veuve Claudin Fedoiart de Fontenay,directed,,{}
Mongeatte,Aulbry Jean,WIDOW_OF,w071,1.0,Mongeatte veuve de Aulbry Jean Aulbry de Charmes,directed,,{}
Alix,Nicolas,WIDOW_OF,w072,1.0,Alix veuve de Nicolas de Vaubexy cordonnier de Charmes,directed,,{}
Roche,Nicolas Gaillot,WIDOW_OF,w072,1.0,Francoise la Roche veuve de Nicolas Gaillot d'Essegney,directed,,{}
Barbion Garat,Colas Graniere,WIDOW_OF,w073,1.0,Barbion Garat veuve de Colas Graniere de Bainville,directed,,{}
Bastienne,Demenge Ferry,WIDOW_OF,w074,1.0,Bastienne veuve Demenge Ferry de Charmes,directed,,{}
Marie,Colas Moyne,WIDOW_OF,w076,1.0,Marie veuve Colas Moyne,directed,,{}
Pentecoste,Estienne Moyne,WIDOW_OF,w076,1.0,Pentecoste veuve Estienne Moyne,directed,,{}
Pentecoste,Estienne Moyne,WIDOW_OF,w077,1.0,Pentecoste veuve Estienne Moyne,directed,,{}
Francoise,Demenge Maillard,WIDOW_OF,w077,1.0,Francoise veuve Demenge Maillard,directed,,{}
Idatte,Didier Gregy,WIDOW_OF,w078,1.0,Idatte veuve de Didier Gregy de Rugney,directed,,{}
Catherine,Bastien Richard,WIDOW_OF,w080,1.0,Catherine veuve Bastien Richard de Charmes,directed,,{}
Mathiotte,Claudin Gegoust,WIDOW_OF,w082,1.0,Mathiotte veuve Claudin Gegoust,directed,,{}
Marie,Clement Behel,WIDOW_OF,w083,1.0,Marie veuve de Clement Behel de St. Prancher,directed,,{}
Mengeon,Bartremin Collin,WIDOW_OF,w083,1.0,Mengeon veuve de Bartremin Collin de St. Prancher,directed,,{}
Phelippa,Mengin Badel,WIDOW_OF,w084,1.0,Phelippa veuve de Mengin Badel de la Neufville,directed,,{}
