source,target,relationship_type,trial_id,confidence,evidence_text,direction,temporal_marker,attributes
Jennon,Claudon Girard,SPOUSE_OF,w266,1.0,B 8708 no 5; witch 266; Jennon femme Claudon Girard de St Remy.,undirected,,{}
Marguitte,Girardin Haxo,SPOUSE_OF,w268,1.0,"B 8708 no 7; witch 268, Marguitte femme Girardin Haxo de La Fosse",undirected,,{}
Laurence,Vincent Bandesapt,SPOUSE_OF,w270,1.0,"B 8708 no 9; witch 270, Laurence femme Vincent Bandesapt, de Pajaille",undirected,,{}
Claudette,Jean Dabo,SPOUSE_OF,w273,1.0,"B 8712 no 2; witch 273, Claudette femme Jean Dabo de Grattain",undirected,,{}
Mengeatte,Jean Frampart,SPOUSE_OF,w274,1.0,"B 8712 no 3; witch 274, Mengeatte femme Jean Frampart de Saint Dié",undirected,,{}
Georgeatte,Didier Malley,SPOUSE_OF,w278,1.0,"Witch 278: B8715 no 1, Georgeatte femme de Didier Malley de la Neufville-les-Raon",undirected,,{}
Claudatte,Lambert Claudel,SPOUSE_OF,w280,1.0,"Witch 280: B8715 no 3, Claudatte femme Lambert Claudel Ferry de Vicq",undirected,,{}
Fleuratte,Bastien,SPOUSE_OF,w282,1.0,"Witch 282; B 8715 no 5, Fleuratte femme Bastien des Boeufs, de la Neuveville-les-",undirected,,{}
Annon,Jean Clauderat,SPOUSE_OF,w283,1.0,"Witch 283; B 8715 no 6, Annon femme Jean Clauderat de Raon",undirected,,{}
Jennon,Claudon Hennemant,SPOUSE_OF,w284,1.0,"B 8717 no 1; witch 284, Jennon femme Claudon Hennemant de La Vacherie (S.",undirected,,{}
Marguitte,Chrestien Colas,SPOUSE_OF,w285,1.0,"B 8717 no 2; witch 285, Marguitte femme Chrestien Colas Thierry, of le Chanoy de",undirected,,{}
Catherine,Benoist Mathieu,SPOUSE_OF,w286,1.0,"B 8717 no 3; witch 286, Catherine femme Benoist Mathieu de la Grandfosse",undirected,,{}
Jennon,Claude Mengin,SPOUSE_OF,w289,1.0,"B 8717 no 6; witch 289, Jennon femme Claude Mengin de Fouchifol (commune de",undirected,,{}
Mongeatte,Jean Johel,SPOUSE_OF,w290,1.0,"B 8719 no 1; witch 290, Mongeatte femme Jean Johel de Moyenmoutier",undirected,,{}
Jennon,Jean Jacquot,SPOUSE_OF,w291,1.0,"B 8719 no 2; witch 291, Jennon femme Jean Jacquot Etienne du Menil",undirected,,{}
Dieudonnée,Toussaint Jalley,SPOUSE_OF,w293,1.0,"B 8721 no 1. Witch 293, Dieudonnée femme Toussaint Jalley de Mazelay, 20 March -",undirected,,{}
Catherine,Bertremin Claude,SPOUSE_OF,w295,1.0,"B 8721 no 3; Witch 295, Catherine femme Bertremin Claude de Wisembach",undirected,,{}
Catherine,Jean,SPOUSE_OF,w298,1.0,"B 8721 no 6. Witch 298, Catherine femme Jean le Maire, of Le Paire (Saulcy-sur-",undirected,,{}
Babelon,Mongeon Voirin,SPOUSE_OF,w299,1.0,B 8721 no 7. Witch 299; Babelon femme Mongeon Voirin de Moyenmoutier,undirected,,{}
Jennon,Demenge,SPOUSE_OF,w302,1.0,"B 8724 no 2. Witch 302, Jennon femme Demenge le Maire de Raon",undirected,,{}
Anthoinette,Didier Chaudron,SPOUSE_OF,w304,1.0,"B 8724 no 4. Witch 304, Anthoinette femme Didier Chaudron, de Raon",undirected,,{}
Margueritte,Cesar,SPOUSE_OF,w306,1.0,"B 8726 no 1; witch 306, Margueritte femme Cesar le Charpentier, de la Bourgonce",undirected,,{}
Jennon,Bastien Jean,SPOUSE_OF,w311,1.0,"B 8735 no 4; witch 311, Jennon femme Bastien Jean Simon de Raon",undirected,,{}
Margueritte,Didier Perisc,SPOUSE_OF,w315,1.0,"B 8741; witch 315, Margueritte femme Didier Perisc de Mouriviller",undirected,,{}
Mengotte,Pierre Gascon,SPOUSE_OF,w317,1.0,B 8941 no 1. Witch 317; Mengotte femme Pierre Gascon de St. Nicolas.,undirected,,{}
Barbon,Nicolas Moictrier,SPOUSE_OF,w321,1.0,"B 8959 no 1; witch 321, Barbon femme Nicolas Moictrier, de Saint Nicolas",undirected,,{}
Agnes,Chrestofle Marcoussan,SPOUSE_OF,w322,1.0,"B 8959 no 2; witch 322, Agnes femme Chrestofle Marcoussan, de St Nicolas",undirected,,{}
Appoline,Bastien Belz,SPOUSE_OF,w331,1.0,"B 9554 no 1; witch 331, Appoline femme Bastien Belz mineur de Ste Marie",undirected,,{}
Denisatte,Nicolas Humbert,SPOUSE_OF,w332,1.0,"B 9554 no 2; witch 332, Denisatte femme Nicolas Humbert du Grand Rombach",undirected,,{}
Jeanne,Alois Humbert,SPOUSE_OF,w333,1.0,"B 9554 no 3; witch 333, Jeanne femme Alois Humbert du Grand Rombach",undirected,,{}
Marion,Claudel Flandrey,SPOUSE_OF,w338,1.0,"Vosges G 708 no 1; witch 338, Marion femme Claudel Flandrey du Faing de Ste",undirected,,{}
Jeannon,Georgeon Grand,SPOUSE_OF,w339,1.0,"Vosges G 710: witch 339, Jeannon femme Georgeon Grand Didier, de la Rochatte",undirected,,{}
Pierrotte Roy,Nicolas Martin,SPOUSE_OF,w340,1.0,"Vosges 3 C 239; Witch 340, Pierrotte Roy femme Nicolas Martin, de Badonviller.",undirected,,{}
Odille,Claudin Thieriat,SPOUSE_OF,w001,1.0,Odille femme Claudin Thieriat,undirected,,{}
